10021	2026-04-10 17:08:59	1	0	0
24387	2026-04-10 17:33:57	1	0	0
24388	2026-04-10 17:34:22	1	0	0
10073	2026-04-11 07:31:03	1	0	0
24084	2026-04-11 07:31:31	1	0	0
23923	2026-04-11 07:32:11	1	0	0
22928	2026-04-11 07:41:30	1	0	0
22928	2026-04-11 07:41:32	1	0	0
10021	2026-04-11 07:44:34	1	0	0
10021	2026-04-11 07:44:36	1	0	0
10502	2026-04-11 07:45:06	1	0	0
24388	2026-04-11 07:45:43	1	0	0
23686	2026-04-11 07:45:47	1	0	0
24387	2026-04-11 07:49:11	1	0	0
23469	2026-04-11 07:49:54	1	0	0
24411	2026-04-11 07:51:10	1	0	0
20071	2026-04-11 07:51:39	1	0	0
24410	2026-04-11 07:52:05	1	0	0
24388	2026-04-11 14:21:49	1	0	0
24387	2026-04-11 14:29:18	1	0	0
10021	2026-04-11 17:29:51	1	0	0
23272	2026-04-13 07:31:23	1	0	0
23272	2026-04-13 07:31:26	1	0	0
24084	2026-04-13 07:31:39	1	0	0
10021	2026-04-13 07:32:00	1	0	0
24388	2026-04-13 07:45:19	1	0	0
10073	2026-04-13 07:49:56	1	0	0
20071	2026-04-13 07:50:09	1	0	0
10502	2026-04-13 07:50:46	1	0	0
23923	2026-04-13 07:51:10	1	0	0
23923	2026-04-13 07:51:12	1	0	0
24411	2026-04-13 07:53:37	1	0	0
24387	2026-04-13 07:54:17	1	0	0
24387	2026-04-13 16:21:36	1	0	0
24388	2026-04-13 16:25:13	1	0	0
10021	2026-04-13 17:02:37	1	0	0
10021	2026-04-13 17:02:42	1	0	0
24172	2026-04-13 17:05:02	1	0	0
23272	2026-04-14 07:29:48	1	0	0
23272	2026-04-14 07:29:50	1	0	0
23923	2026-04-14 07:37:05	1	0	0
24084	2026-04-14 07:39:13	1	0	0
24084	2026-04-14 07:39:23	1	0	0
10502	2026-04-14 07:44:05	1	0	0
24387	2026-04-14 07:45:06	1	0	0
24388	2026-04-14 07:45:27	1	0	0
10073	2026-04-14 07:46:51	1	0	0
10021	2026-04-14 07:48:53	1	0	0
10021	2026-04-14 07:48:57	1	0	0
24410	2026-04-14 07:50:25	1	0	0
24411	2026-04-14 07:53:41	1	0	0
23686	2026-04-14 07:55:14	1	0	0
24172	2026-04-14 07:57:54	1	0	0
20071	2026-04-14 07:58:59	1	0	0
24387	2026-04-14 16:14:26	1	0	0
24388	2026-04-14 16:14:30	1	0	0
10021	2026-04-14 17:06:56	1	0	0
24172	2026-04-14 17:09:29	1	0	0
20071	2026-04-14 17:41:33	1	0	0
23272	2026-04-15 07:37:54	1	0	0
10021	2026-04-15 07:38:49	1	1	0
10021	2026-04-15 07:38:52	1	1	0
24084	2026-04-15 07:38:55	1	1	0
24387	2026-04-15 07:46:51	1	0	0
24388	2026-04-15 07:47:12	1	0	0
23686	2026-04-15 07:47:21	1	0	0
10502	2026-04-15 07:51:37	1	0	0
24410	2026-04-15 07:53:31	1	0	0
10073	2026-04-15 07:53:56	1	0	0
24411	2026-04-15 07:56:20	1	0	0
20071	2026-04-15 07:58:31	1	0	0
23923	2026-04-15 08:03:54	1	0	0
24387	2026-04-15 16:44:11	1	0	0
24388	2026-04-15 16:44:17	1	0	0
10021	2026-04-16 07:33:13	1	0	0
23272	2026-04-16 07:35:33	1	0	0
23272	2026-04-16 07:35:35	1	0	0
24388	2026-04-16 07:38:37	1	0	0
24387	2026-04-16 07:46:31	1	0	0
23686	2026-04-16 07:49:53	1	0	0
10502	2026-04-16 07:51:15	1	0	0
24411	2026-04-16 07:53:07	1	0	0
24410	2026-04-16 07:53:10	1	0	0
20071	2026-04-16 07:55:58	1	0	0
10021	2026-04-16 07:56:52	1	0	0
24172	2026-04-16 07:57:48	1	0	0
23923	2026-04-16 07:59:18	1	0	0
10073	2026-04-16 08:00:11	1	0	0
24387	2026-04-16 16:41:28	1	0	0
24388	2026-04-16 16:41:34	1	0	0
24172	2026-04-16 16:57:25	1	0	0
23923	2026-04-16 17:39:40	1	0	0
23923	2026-04-16 17:39:42	1	0	0
23272	2026-04-16 17:46:01	1	1	0
23272	2026-04-16 17:46:09	1	1	0
23272	2026-04-17 07:45:53	1	0	0
22928	2026-04-17 07:46:05	1	0	0
22928	2026-04-17 07:46:06	1	0	0
24387	2026-04-17 07:46:28	1	0	0
24388	2026-04-17 07:46:32	1	0	0
10021	2026-04-17 07:49:57	1	0	0
10021	2026-04-17 07:49:59	1	0	0
10502	2026-04-17 07:50:27	1	0	0
24410	2026-04-17 07:51:01	1	0	0
10073	2026-04-17 07:51:58	1	0	0
24411	2026-04-17 07:53:08	1	0	0
24172	2026-04-17 07:55:04	1	0	0
20071	2026-04-17 07:57:01	1	0	0
23469	2026-04-17 07:57:18	1	0	0
24084	2026-04-17 07:57:24	1	0	0
23923	2026-04-17 08:03:43	1	0	0
24387	2026-04-17 16:29:48	1	0	0
24388	2026-04-17 16:30:02	1	0	0
10021	2026-04-17 17:02:44	1	0	0
24172	2026-04-17 18:07:00	1	0	0
22928	2026-04-17 18:16:15	1	1	0
22928	2026-04-17 18:16:17	1	1	0
23923	2026-04-17 18:27:21	1	0	0
24387	2026-04-18 07:45:36	1	0	0
23272	2026-04-18 07:46:11	1	0	0
10021	2026-04-18 07:46:48	1	0	0
10021	2026-04-18 07:46:50	1	0	0
23272	2026-04-18 07:47:15	1	0	0
23272	2026-04-18 07:47:18	1	0	0
24084	2026-04-18 07:47:52	1	0	0
24388	2026-04-18 07:48:39	1	0	0
10502	2026-04-18 07:49:49	1	0	0
24411	2026-04-18 07:50:49	1	0	0
24410	2026-04-18 07:54:55	1	0	0
10073	2026-04-18 07:55:30	1	0	0
23469	2026-04-18 07:56:26	1	0	0
24172	2026-04-18 07:57:34	1	0	0
22928	2026-04-18 07:58:21	1	0	0
22928	2026-04-18 07:58:23	1	0	0
24388	2026-04-18 13:15:36	1	0	0
24172	2026-04-18 16:01:33	1	0	0
24387	2026-04-18 16:06:08	1	0	0
24388	2026-04-20 07:48:52	1	0	0
24172	2026-04-20 07:48:57	1	0	0
24387	2026-04-20 07:49:01	1	0	0
